gauge_id,gauge_name,source
10034,Zopilote,CONABIO-BANDAS
10037,Huites,CONAGUA-SIH
10063,Batopilas,CONAGUA-SIH
11027,El Saltito,CONAGUA-SIH
11040,Vicente Guerrero,CONAGUA-SIH
12238,Pericos,CONAGUA-SIH
12370,San Gaspar,CONAGUA-SIH
12405,El Tecomate,CONABIO-BANDAS
12469,Cuixtla,CONAGUA-SIH
12484,El Platanito,CONAGUA-SIH
12485,El Zapote,CONAGUA-SIH
12487,La Florida,CONAGUA-SIH
12488,La Gloria,CONAGUA-SIH
12504,La Cuña,CONAGUA-SIH
12520,Huaynamota II,CONABIO-BANDAS
12535,Cinco Señores,CONAGUA-SIH
20021,Ixtayutla,CONAGUA-SIH
20022,San Cristóbal,CONAGUA-SIH
20026,Tlapacoyan,CONAGUA-SIH
22008,Boquilla Número 1,CONAGUA-SIH
22015,Tequisistlán,CONAGUA-SIH
22016,Chicapa,CONAGUA-SIH
26243,Requetemú,CONAGUA-SIH
26249,Magiscatzín 2,CONAGUA-SIH
26280,La Servilleta,CONAGUA-SIH
26285,Micos,CONAGUA-SIH
27001,Martínez de la Torre,CONAGUA-SIH
28001,San Juan Evangelista,CONAGUA-SIH
28013,Azueta,CONAGUA-SIH
28015,Cuatotolapan,CONAGUA-SIH
28108,El Naranjillo,CONAGUA-SIH
28125,Carrizal,CONAGUA-SIH
28136,Garro,CONAGUA-SIH
30158,Puente Concordia,CONAGUA-SIH
36071,Sardinas,CONAGUA-SIH
